EVENT,Lat,Long
Monroe Balloons and Bands Festival,42.6022742,-89.62834953
Rise & Shine Balloon Rally,43.56667519,-90.88702085
Taste N' Glow Balloon Fest,44.97397585,-89.796432
Dairyland Balloon Jubilee,44.70859672,-90.1258743
Paperfest,44.27282424,-88.34700422
EAA Airventure,43.9798155,-88.56752573
Saluting Heroes Balloon Rally,45.67854072,-89.42352885
Lakeshore Balloon Rally,44.0916171,-87.65644432
Burgerfest,44.50726762,-88.33742266
Summer In The Park - Flight Night,44.22947193,-88.3316257
igNight Market,44.51909157,-88.01641863
